mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.974,0.038,0.982,0.8254,logistic,1,"(5, 100)",invscaling,lbfgs
0.974,0.034,0.98,0.5005,tanh,10,"(5, 50)",constant,lbfgs
0.972,0.044,0.981,0.8786,logistic,1,"(10, 100)",constant,lbfgs
0.972,0.042,0.982,0.9145,logistic,1,"(10, 100)",invscaling,lbfgs
0.972,0.04,0.982,0.898,logistic,1,"(10, 100)",adaptive,lbfgs
0.972,0.038,0.979,0.5043,tanh,10,"(5, 50)",invscaling,lbfgs
0.972,0.038,0.979,0.8432,tanh,10,"(5, 100)",invscaling,lbfgs
0.972,0.038,0.979,0.8692,tanh,10,"(5, 100)",adaptive,lbfgs
0.972,0.038,0.978,0.9345,tanh,10,"(10, 100)",constant,lbfgs
0.972,0.033,0.971,1.3111,relu,1,"(5, 100)",adaptive,adam
0.971,0.043,0.982,0.823,logistic,1,"(5, 100)",constant,lbfgs
0.971,0.043,0.982,0.5321,logistic,1,"(10, 50)",invscaling,lbfgs
0.971,0.041,0.981,0.5344,logistic,1,"(10, 50)",adaptive,lbfgs
0.971,0.039,0.982,0.4811,logistic,1,"(5, 50)",invscaling,lbfgs
0.971,0.039,0.981,0.5367,logistic,1,"(10, 50)",constant,lbfgs
0.971,0.039,0.979,0.5367,tanh,10,"(5, 50)",adaptive,lbfgs
0.971,0.039,0.978,0.8634,tanh,10,"(5, 100)",constant,lbfgs
0.971,0.039,0.978,0.5706,tanh,10,"(10, 50)",constant,lbfgs
0.971,0.039,0.978,0.5741,tanh,10,"(10, 50)",invscaling,lbfgs
0.971,0.039,0.979,0.5911,tanh,10,"(10, 50)",adaptive,lbfgs
0.971,0.039,0.979,0.9836,tanh,10,"(10, 100)",invscaling,lbfgs
0.971,0.039,0.977,0.8871,tanh,10,"(10, 100)",adaptive,lbfgs
0.971,0.037,0.973,1.3866,relu,1,"(10, 100)",constant,adam
0.971,0.034,0.982,0.4799,logistic,1,"(5, 50)",adaptive,lbfgs
0.971,0.029,0.969,1.0141,identity,1,"(10, 50)",adaptive,adam
0.971,0.026,0.976,1.2148,relu,0.1,"(10, 100)",constant,adam
0.969,0.042,0.973,0.986,relu,1,"(10, 50)",invscaling,adam
0.969,0.04,0.971,1.0082,identity,0.1,"(5, 100)",invscaling,adam
0.969,0.038,0.973,1.0744,identity,0.1,"(10, 100)",constant,adam
0.969,0.038,0.975,0.3316,relu,10,"(5, 50)",constant,lbfgs
0.969,0.038,0.975,0.3663,relu,10,"(5, 50)",adaptive,lbfgs
0.969,0.038,0.975,0.5198,relu,10,"(5, 100)",constant,lbfgs
0.969,0.038,0.975,0.5284,relu,10,"(5, 100)",invscaling,lbfgs
0.969,0.038,0.975,0.5171,relu,10,"(5, 100)",adaptive,lbfgs
0.969,0.038,0.975,0.4129,relu,10,"(10, 50)",constant,lbfgs
0.969,0.038,0.975,0.3809,relu,10,"(10, 50)",invscaling,lbfgs
0.969,0.038,0.975,0.3874,relu,10,"(10, 50)",adaptive,lbfgs
0.969,0.038,0.975,0.5854,relu,10,"(10, 100)",constant,lbfgs
0.969,0.038,0.975,0.5801,relu,10,"(10, 100)",invscaling,lbfgs
0.969,0.038,0.975,0.5941,relu,10,"(10, 100)",adaptive,lbfgs
0.969,0.035,0.97,0.9236,identity,1,"(10, 50)",invscaling,adam
0.969,0.035,0.969,1.261,identity,1,"(10, 100)",adaptive,adam
0.969,0.033,0.972,0.1194,identity,10,"(5, 50)",constant,lbfgs
0.969,0.033,0.972,0.1129,identity,10,"(5, 50)",invscaling,lbfgs
0.969,0.033,0.972,0.1407,identity,10,"(5, 50)",adaptive,lbfgs
0.969,0.033,0.972,0.1602,identity,10,"(5, 100)",constant,lbfgs
0.969,0.033,0.972,0.1215,identity,10,"(10, 50)",constant,lbfgs
0.969,0.033,0.983,0.4875,logistic,1,"(5, 50)",constant,lbfgs
0.968,0.045,0.968,1.0096,identity,0.1,"(10, 50)",constant,adam
0.968,0.041,0.973,0.8276,identity,0.1,"(10, 50)",invscaling,adam
0.968,0.041,0.973,0.2876,logistic,10,"(10, 50)",constant,lbfgs
0.968,0.041,0.973,0.2728,logistic,10,"(10, 50)",invscaling,lbfgs
0.968,0.041,0.973,0.2862,logistic,10,"(10, 50)",adaptive,lbfgs
0.968,0.041,0.973,0.572,logistic,10,"(10, 100)",constant,lbfgs
0.968,0.041,0.973,0.58,logistic,10,"(10, 100)",invscaling,lbfgs
0.968,0.041,0.973,0.6478,logistic,10,"(10, 100)",adaptive,lbfgs
0.968,0.041,0.972,1.2253,relu,1,"(5, 100)",invscaling,adam
0.968,0.039,0.97,0.235,identity,0.1,"(5, 50)",constant,lbfgs
0.968,0.039,0.97,0.2335,identity,0.1,"(5, 50)",invscaling,lbfgs
0.968,0.039,0.97,0.3284,identity,0.1,"(5, 50)",adaptive,lbfgs
0.968,0.039,0.97,0.3798,identity,0.1,"(5, 100)",constant,lbfgs
0.968,0.039,0.97,0.246,identity,0.1,"(5, 100)",adaptive,lbfgs
0.968,0.039,0.97,0.1672,identity,0.1,"(10, 50)",constant,lbfgs
0.968,0.039,0.97,0.231,identity,0.1,"(10, 50)",invscaling,lbfgs
0.968,0.039,0.97,0.2717,identity,0.1,"(10, 100)",invscaling,lbfgs
0.968,0.039,0.97,0.3064,identity,0.1,"(10, 100)",adaptive,lbfgs
0.968,0.039,0.971,0.2227,identity,1,"(5, 50)",invscaling,lbfgs
0.968,0.039,0.971,0.1939,identity,1,"(5, 50)",adaptive,lbfgs
0.968,0.039,0.971,0.273,identity,1,"(5, 100)",constant,lbfgs
0.968,0.039,0.971,0.274,identity,1,"(5, 100)",invscaling,lbfgs
0.968,0.039,0.971,0.3,identity,1,"(5, 100)",adaptive,lbfgs
0.968,0.039,0.971,0.9837,identity,1,"(10, 50)",constant,adam
0.968,0.039,0.971,0.2332,identity,1,"(10, 50)",adaptive,lbfgs
0.968,0.039,0.971,0.3158,identity,1,"(10, 100)",constant,lbfgs
0.968,0.039,0.971,0.3402,identity,1,"(10, 100)",invscaling,lbfgs
0.968,0.036,0.969,0.85,identity,0.1,"(10, 50)",adaptive,adam
0.968,0.036,0.971,1.0583,identity,0.1,"(10, 100)",invscaling,adam
0.968,0.036,0.969,1.1578,identity,1,"(10, 100)",invscaling,adam
0.968,0.031,0.972,0.0944,identity,10,"(10, 50)",invscaling,lbfgs
0.966,0.049,0.972,1.0827,relu,1,"(10, 50)",constant,adam
0.966,0.045,0.97,1.1327,identity,1,"(5, 100)",constant,adam
0.966,0.043,0.973,1.2455,relu,1,"(10, 100)",invscaling,adam
0.966,0.041,0.97,0.9987,identity,1,"(10, 100)",constant,adam
0.966,0.041,0.974,0.9064,relu,0.1,"(5, 50)",invscaling,adam
0.966,0.041,0.969,1.1156,relu,1,"(5, 50)",adaptive,adam
0.966,0.039,0.971,0.9936,identity,0.1,"(10, 100)",adaptive,adam
0.966,0.039,0.971,0.9267,identity,1,"(5, 50)",constant,adam
0.966,0.039,0.969,1.0107,identity,1,"(5, 50)",invscaling,adam
0.966,0.039,0.975,0.9795,relu,0.1,"(5, 100)",constant,adam
0.966,0.037,0.983,0.8162,logistic,1,"(5, 100)",adaptive,lbfgs
0.966,0.037,0.973,0.2866,logistic,10,"(5, 50)",constant,lbfgs
0.966,0.037,0.973,0.321,logistic,10,"(5, 50)",invscaling,lbfgs
0.966,0.037,0.973,0.3065,logistic,10,"(5, 50)",adaptive,lbfgs
0.966,0.037,0.973,0.6055,logistic,10,"(5, 100)",constant,lbfgs
0.966,0.037,0.973,0.619,logistic,10,"(5, 100)",invscaling,lbfgs
0.966,0.037,0.973,0.7177,logistic,10,"(5, 100)",adaptive,lbfgs
0.966,0.034,0.971,0.1963,identity,1,"(5, 50)",constant,lbfgs
0.966,0.034,0.971,1.2499,relu,1,"(5, 50)",constant,adam
0.965,0.049,0.974,1.1034,relu,0.1,"(5, 100)",invscaling,adam
0.965,0.049,0.973,1.1776,relu,0.1,"(5, 100)",adaptive,adam
0.965,0.047,0.975,1.6965,relu,0.1,"(10, 100)",adaptive,adam
0.965,0.047,0.966,0.8977,relu,10,"(5, 50)",adaptive,sgd
0.965,0.046,0.97,1.0583,identity,1,"(5, 100)",invscaling,adam
0.965,0.045,0.972,1.1085,relu,1,"(10, 100)",adaptive,adam
0.963,0.06,0.968,1.131,identity,0.1,"(5, 100)",adaptive,adam
0.963,0.06,0.995,0.6539,relu,1,"(10, 100)",adaptive,lbfgs
0.963,0.055,0.984,0.476,relu,1,"(5, 50)",invscaling,lbfgs
0.963,0.054,0.963,0.6975,identity,10,"(10, 100)",adaptive,sgd
0.963,0.054,0.984,0.5045,relu,0.1,"(5, 100)",constant,lbfgs
0.963,0.051,0.966,0.9319,identity,1,"(10, 50)",constant,sgd
0.963,0.051,0.964,1.0738,identity,10,"(5, 100)",invscaling,adam
0.963,0.051,0.965,1.0445,relu,10,"(10, 100)",adaptive,adam
0.963,0.049,0.964,0.978,tanh,10,"(10, 50)",adaptive,adam
0.963,0.047,0.969,1.0981,identity,1,"(5, 100)",adaptive,adam
0.963,0.047,0.971,1.2841,relu,1,"(5, 100)",constant,adam
0.963,0.047,0.963,0.9005,relu,10,"(10, 50)",constant,adam
0.963,0.044,0.968,0.9068,identity,0.1,"(5, 100)",adaptive,sgd
0.963,0.04,0.969,0.8295,identity,0.1,"(5, 50)",invscaling,adam
0.962,0.06,0.964,0.7801,relu,10,"(5, 50)",constant,sgd
0.962,0.057,0.978,1.252,relu,0.1,"(10, 100)",invscaling,adam
0.962,0.055,0.963,0.9853,identity,10,"(10, 50)",constant,adam
0.962,0.055,0.964,0.9648,tanh,10,"(10, 50)",constant,adam
0.962,0.054,0.966,0.8182,relu,10,"(10, 50)",constant,sgd
0.962,0.052,0.964,0.9355,identity,10,"(10, 50)",constant,sgd
0.962,0.052,0.963,0.9394,identity,10,"(10, 50)",invscaling,adam
0.962,0.052,0.963,0.6681,identity,10,"(10, 50)",adaptive,adam
0.962,0.052,0.965,0.9141,relu,10,"(10, 50)",invscaling,adam
0.962,0.052,0.964,0.8405,relu,10,"(10, 50)",adaptive,sgd
0.962,0.052,0.964,1.1083,relu,10,"(10, 100)",constant,sgd
0.962,0.052,0.965,1.0212,relu,10,"(10, 100)",adaptive,sgd
0.962,0.051,0.963,0.8,identity,10,"(10, 100)",constant,adam
0.962,0.051,0.976,1.3301,relu,0.1,"(10, 50)",invscaling,adam
0.962,0.051,0.964,0.9811,relu,10,"(5, 50)",invscaling,adam
0.962,0.051,0.965,0.969,relu,10,"(5, 100)",adaptive,sgd
0.962,0.049,0.973,0.8326,relu,0.1,"(5, 50)",adaptive,adam
0.962,0.049,0.965,1.0385,relu,10,"(5, 100)",invscaling,adam
0.962,0.048,0.967,0.9344,logistic,0.1,"(10, 50)",adaptive,adam
0.962,0.047,0.971,0.8748,identity,0.1,"(5, 50)",adaptive,adam
0.962,0.047,0.97,0.8758,identity,0.1,"(5, 100)",constant,adam
0.962,0.044,0.966,1.2548,logistic,0.1,"(10, 100)",constant,adam
0.962,0.043,0.97,1.1907,relu,1,"(5, 50)",invscaling,adam
0.962,0.041,0.973,1.1002,relu,1,"(10, 50)",adaptive,adam
0.96,0.068,0.967,1.0585,identity,1,"(10, 100)",adaptive,sgd
0.96,0.06,0.97,1.0082,tanh,1,"(10, 50)",constant,adam
0.96,0.058,0.963,0.5813,identity,10,"(10, 50)",adaptive,sgd
0.96,0.058,0.963,0.6782,identity,10,"(10, 100)",constant,sgd
0.96,0.058,0.964,0.7786,identity,10,"(10, 100)",adaptive,adam
0.96,0.058,0.964,1.2984,tanh,10,"(10, 100)",constant,adam
0.96,0.058,0.965,1.147,relu,10,"(10, 100)",invscaling,adam
0.96,0.057,0.97,0.9428,identity,1,"(5, 50)",adaptive,adam
0.96,0.057,0.965,0.904,identity,10,"(5, 50)",adaptive,adam
0.96,0.057,0.964,1.0748,identity,10,"(5, 100)",adaptive,adam
0.96,0.057,0.993,0.7058,relu,0.1,"(10, 50)",adaptive,lbfgs
0.96,0.055,0.963,0.9461,identity,10,"(5, 50)",invscaling,adam
0.96,0.055,0.973,1.3312,tanh,1,"(10, 100)",invscaling,adam
0.96,0.055,0.964,0.8964,relu,10,"(10, 50)",adaptive,adam
0.96,0.054,0.972,1.2825,tanh,0.1,"(10, 50)",constant,adam
0.96,0.052,0.964,1.1317,relu,10,"(10, 100)",constant,adam
0.96,0.051,0.988,0.6687,relu,1,"(5, 100)",invscaling,lbfgs
0.96,0.049,0.964,1.2723,tanh,10,"(10, 100)",adaptive,adam
0.96,0.048,0.972,1.2962,tanh,1,"(10, 100)",adaptive,adam
0.96,0.046,0.972,1.0289,tanh,1,"(10, 50)",invscaling,adam
0.96,0.043,0.998,0.8979,logistic,0.1,"(10, 100)",adaptive,lbfgs
0.96,0.041,0.977,1.3311,relu,0.1,"(10, 50)",constant,adam
0.96,0.039,0.967,1.3081,logistic,0.1,"(10, 100)",invscaling,adam
0.96,0.037,0.992,0.833,tanh,1,"(5, 100)",constant,lbfgs
0.96,0.026,0.993,0.5162,tanh,1,"(5, 50)",adaptive,lbfgs
0.959,0.079,0.957,0.3167,relu,10,"(5, 50)",invscaling,lbfgs
0.959,0.072,0.98,0.5046,relu,1,"(5, 50)",adaptive,lbfgs
0.959,0.065,0.964,0.8203,identity,10,"(5, 50)",adaptive,sgd
0.959,0.062,0.963,0.7853,identity,10,"(5, 50)",constant,sgd
0.959,0.062,0.963,0.9542,identity,10,"(5, 100)",constant,sgd
0.959,0.062,0.963,0.7955,identity,10,"(10, 100)",invscaling,adam
0.959,0.061,0.97,0.7636,identity,0.1,"(5, 50)",constant,adam
0.959,0.056,0.962,0.9287,identity,10,"(5, 100)",adaptive,sgd
0.959,0.056,0.96,1.2537,logistic,1,"(10, 100)",adaptive,adam
0.959,0.056,0.962,0.9196,relu,10,"(5, 50)",adaptive,adam
0.959,0.054,1,0.9818,tanh,1,"(10, 100)",adaptive,lbfgs
0.959,0.053,0.965,1.0594,relu,10,"(5, 100)",constant,adam
0.959,0.052,0.966,0.6799,identity,0.1,"(10, 50)",adaptive,sgd
0.959,0.052,0.964,1.266,tanh,10,"(10, 100)",invscaling,adam
0.959,0.05,0.967,1.0272,identity,0.1,"(10, 100)",adaptive,sgd
0.959,0.05,0.989,0.5273,tanh,0.1,"(5, 50)",invscaling,lbfgs
0.959,0.048,0.977,1.1153,relu,0.1,"(10, 50)",adaptive,adam
0.959,0.048,0.964,0.871,relu,10,"(5, 50)",constant,adam
0.959,0.046,0.959,1.1785,tanh,10,"(5, 100)",adaptive,adam
0.959,0.045,0.966,1.2746,logistic,0.1,"(10, 100)",adaptive,adam
0.959,0.044,0.971,1.3634,tanh,1,"(10, 100)",constant,adam
0.959,0.041,0.966,0.9105,logistic,0.1,"(10, 50)",invscaling,adam
0.959,0.038,0.999,1.0521,tanh,1,"(10, 100)",constant,lbfgs
0.959,0.038,0.961,0.7889,relu,0.1,"(5, 50)",adaptive,sgd
0.959,0.034,0.971,1.0098,tanh,1,"(10, 50)",adaptive,adam
0.959,0.028,0.984,0.5326,relu,1,"(5, 100)",adaptive,lbfgs
0.958,0.067,0.962,0.9221,identity,10,"(5, 50)",constant,adam
0.958,0.063,0.963,0.9863,identity,1,"(5, 100)",constant,sgd
0.958,0.063,0.981,0.3356,relu,0.1,"(5, 50)",constant,lbfgs
0.958,0.06,0.965,1.0003,tanh,10,"(10, 50)",invscaling,adam
0.958,0.056,0.967,0.8749,identity,0.1,"(10, 50)",constant,sgd
0.958,0.053,0.961,0.8288,identity,1,"(5, 100)",adaptive,sgd
0.958,0.053,0.988,0.9085,tanh,0.1,"(5, 100)",invscaling,lbfgs
0.958,0.051,0.962,1.1971,logistic,0.1,"(5, 100)",adaptive,adam
0.958,0.05,0.963,1.2002,logistic,0.1,"(5, 100)",constant,adam
0.958,0.05,0.966,0.9563,logistic,0.1,"(10, 50)",constant,adam
0.958,0.049,0.961,0.94,logistic,1,"(10, 50)",adaptive,adam
0.958,0.048,0.972,0.8421,relu,0.1,"(5, 50)",constant,adam
0.958,0.042,0.964,0.9274,tanh,1,"(5, 50)",invscaling,adam
0.958,0.04,0.962,0.9128,tanh,0.1,"(5, 50)",adaptive,adam
0.958,0.038,0.964,1.0584,relu,1,"(5, 50)",constant,sgd
0.956,0.065,0.966,0.7609,identity,1,"(10, 100)",constant,sgd
0.956,0.062,0.961,1.3244,logistic,1,"(10, 100)",constant,adam
0.956,0.062,0.973,1.0704,tanh,0.1,"(10, 50)",adaptive,adam
0.956,0.059,0.963,0.9703,relu,0.1,"(5, 100)",adaptive,sgd
0.956,0.058,0.961,0.905,logistic,0.1,"(5, 50)",constant,adam
